"","y","x1"
"1",130.64316222691,108.336849282683
"2",129.459733843847,108.193738142883
"3",129.453590773896,109.276979796105
"4",129.928182989517,107.95542487979
"5",132.912942518046,109.351117263847
"6",132.761562667579,110.393396387221
"7",130.134730058042,109.709001720126
"8",133.986886073546,111.935020856713
"9",134.947987798208,111.035841812549
"10",131.307333005982,109.761089127808
"11",132.053261771479,109.751670829118
"12",131.366817080438,110.419688291862
"13",135.539162128067,111.539421513496
"14",136.408106006585,112.216384528132
"15",132.369402995913,110.203931249461
"16",133.07961968515,110.455632392249
"17",134.798796068659,110.967909222469
"18",134.634430994293,111.349539125439
"19",133.115131350745,110.366369765315
"20",133.661649810359,111.206132820681
"21",132.849609309428,111.365696823517
"22",132.636770709552,110.748642768346
"23",132.464841578746,111.76096201703
"24",136.177508924575,113.142451744699
"25",134.326523274027,112.123765573628
"26",134.923108233916,112.011227931581
"27",132.211929317239,109.783801458847
"28",132.301147584194,108.805939854739
"29",130.167241673564,109.173911247035
"30",130.845195106325,108.878208078837
"31",131.074446090311,110.349498808295
"32",130.230838118631,109.642161650605
"33",132.211018987395,109.670843758162
"34",132.189763296861,110.000006709726
"35",133.836938037432,112.448233583886
"36",133.537406224931,111.905194388213
"37",134.225165786199,111.713845700575
"38",134.475867439815,111.017483378819
"39",132.372923699881,110.006941416335
"40",131.916034771351,110.641277561434
"41",133.425021474355,110.143435412679
"42",131.515234220798,110.303812540863
"43",135.916679825961,112.686060003491
"44",134.81037665061,113.40299095888
"45",135.291812969519,113.534823108095
"46",134.9846675229,112.223449756689
"47",134.538357327373,112.767888293215
"48",135.072002856901,112.501569905601
"49",135.159306108601,113.155491641616
"50",138.442878913487,114.262467254297
"51",136.409121360024,114.36180120961
"52",137.11892404895,114.545543080953
"53",142.982921511904,116.601687385623
"54",139.769291624054,117.341491635153
"55",143.055751919217,117.586926109224
"56",139.80981260557,116.548709250511
"57",141.501294520244,116.372466440616
"58",140.349211675173,116.274315789954
"59",140.060877695148,116.68390914089
"60",137.98961122475,116.68209251119
"61",140.464492424295,116.452920890538
"62",140.314186094416,116.739883045184
"63",139.744271712429,116.53799779775
"64",139.166755297744,116.771340552891
"65",139.35900127322,115.481704590291
"66",139.876127695056,115.485488162609
"67",138.768894992223,116.831795454151
"68",137.580388088079,115.896273508
"69",140.143920963566,117.144248671997
"70",142.595833134117,117.991546482418
"71",152.040581714949,118.603606299009
"72",154.829388030578,120.344533814128
"73",155.588900468748,121.248848223892
"74",155.41103056397,120.349162702262
"75",154.209812126514,121.106060464656
"76",153.55633281518,120.31474510136
"77",155.030681241303,121.18063387686
"78",156.291882116045,121.929196971993
"79",157.560496899087,122.452092202011
"80",157.770855060171,123.552269043607
"81",157.092451169566,122.589991357155
"82",154.468094293339,121.879997464966
"83",155.267020973513,121.731348497043
"84",156.038296227691,121.496028381097
"85",156.322707347339,120.85011737594
"86",155.673196421855,121.071288864433
"87",156.424482911304,121.656125212536
"88",153.560813482036,120.23045728211
"89",154.446095701181,121.189742994867
"90",155.102771503104,120.23387048301
"91",156.699330104674,120.752810940733
"92",154.398648982085,120.105079301369
"93",154.920469106242,121.167888488734
"94",157.96936810651,121.364208274402
"95",153.722661630709,119.526635373076
"96",154.512206980364,120.623234095422
"97",155.201638841343,121.258663556246
"98",156.929483143919,122.227275766171
"99",157.275028840727,123.62531916392
"100",156.328490744098,121.879984070674
